총인구수,세대수,세대당인구,남자인구수,여자인구수,남여비율,행정코드,구분,구,동,성비,여성비율,시_인구비중,유형,세대당인구_편차,면적,위도,경도,인구밀도,지역유형,세대구조,성비구분
30848,14128,2.18,15939,14909,1.07,4146125000,읍면동,처인구,포곡읍,106.9085787108458,48.33052385892116,2.827015742504028,읍,-0.25,41.75262003391981,37.29061091411134,127.21782465780748,738.827886128801,소규모세대·남성우위,소규모세대,남성우위
34384,15822,2.17,17726,16658,1.06,4146125300,읍면동,처인구,모현읍,106.41133389362469,48.44695207073057,3.1510668208719688,읍,-0.26000000000000023,50.391073156148195,37.32645657491256,127.2183029364442,682.3430787721738,소규모세대·남성우위,소규모세대,남성우위
19018,8921,2.13,9773,9245,1.06,4146125600,읍면동,처인구,이동읍,105.71119524067063,48.61184141339783,1.7428742670818724,읍,-0.30000000000000027,76.04308228567243,37.164504388379655,127.21122589852851,250.09507016765488,소규모세대·남성우위,소규모세대,남성우위
23561,9999,2.36,11925,11636,1.02,4146125900,읍면동,처인구,남사읍,102.48367136473016,49.38669835745512,2.1592102537972444,읍,-0.07000000000000028,58.4170141145587,37.13280580225921,127.15664863046831,403.3242773037954,소규모세대·남성우위,소규모세대,남성우위
7477,3880,1.93,3930,3547,1.11,4146134000,읍면동,처인구,원삼면,110.79785734423457,47.438812357897554,0.6852177355647892,면,-0.5000000000000002,60.10464370250702,37.16342399506289,127.31350112172304,124.39970590305866,소규모세대·남성우위,소규모세대,남성우위
7584,4226,1.79,4143,3441,1.2,4146135000,읍면동,처인구,백암면,120.40104620749783,45.37183544303797,0.6950235798479819,면,-0.6400000000000001,65.71349487453699,37.14396447062961,127.37979566110032,115.41008455690412,소규모세대·남성우위,소규모세대,남성우위
21455,10517,2.04,11255,10200,1.1,4146136000,읍면동,처인구,양지면,110.34313725490196,47.541365649032855,1.9662092438869267,면,-0.3900000000000001,57.75163259357214,37.242062308934045,127.28870899568534,371.5046490718252,소규모세대·남성우위,소규모세대,남성우위
26885,13588,1.98,13617,13268,1.03,4146151000,읍면동,처인구,중앙동,102.63038890563763,49.35093918541938,2.4638329304078317,동,-0.4500000000000002,7.962684582918882,37.22531951353867,127.19985293717362,3376.373849803399,소규모세대·남성우위,소규모세대,남성우위
34727,15696,2.21,17526,17201,1.02,4146152500,읍면동,처인구,역북동,101.88942503342828,49.53206438794022,3.1825005086208953,동,-0.2200000000000002,5.874179631471634,37.24149623326885,127.18646410165434,5911.804231172275,소규모세대·남성우위,소규모세대,남성우위
11941,4767,2.5,5924,6017,0.98,4146152600,읍면동,처인구,삼가동,98.45437925876682,50.38941462189096,1.0943138933234116,동,0.06999999999999984,6.397708531469107,37.240127666541895,127.16555466918334,1866.4495172395712,가족중심·여성우위,가족중심,여성우위
13538,6650,2.04,6902,6636,1.04,4146153500,읍면동,처인구,유림1동,104.00843881856541,49.01758014477766,1.2406684103351766,동,-0.3900000000000001,7.084675472229719,37.258795902611546,127.19847689064557,1910.884987331574,소규모세대·남성우위,소규모세대,남성우위
38396,14906,2.58,19311,19085,1.01,4146153600,읍면동,처인구,유림2동,101.18417605449307,49.705698510261485,3.51874015978944,동,0.1499999999999999,6.289867743849754,37.248874609807515,127.22662128796462,6104.420881908636,가족중심·남성우위,가족중심,남성우위
12230,6038,2.03,6309,5921,1.07,4146154000,읍면동,처인구,동부동,106.5529471373079,48.413736713000816,1.1207988372284836,동,-0.40000000000000036,24.111967835575342,37.204531104974514,127.25093554480091,507.21700042895634,소규모세대·남성우위,소규모세대,남성우위
36201,16005,2.26,18043,18158,0.99,4146351000,읍면동,기흥구,신갈동,99.36667033814297,50.15883539128754,3.317582886877214,동,-0.17000000000000037,4.630390666425228,37.28313092662099,127.10263007020455,7818.130824790219,소규모세대·여성우위,소규모세대,여성우위
34208,13832,2.47,16968,17240,0.98,4146351600,읍면동,기흥구,영덕1동,98.42227378190255,50.39756782039289,3.1349375816771845,동,0.040000000000000036,4.001989666372538,37.275369674368235,127.08104362134452,8547.748208207302,가족중심·여성우위,가족중심,여성우위
